,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
101317,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-08-06,163880,37858,59435,   -2278,   -1475,  -10992
101318,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-07-30,166158,39333,70427,    4353,     691,    8681
101319,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-07-23,161805,38642,61746,   -2065,    -761,     -37
101320,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-07-16,163870,39403,61783,   -5238,   -4856,  -10524
101321,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-07-09,169108,44259,72307,   -1869,    -639,   -1132
101322,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-07-02,170977,44898,73439,   -7769,   -2001,   -5149
101323,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-06-25,178746,46899,78588,  -16131,    -939,    4311
101324,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-06-18,194877,47838,74277,   13646,    6964,   15356
101325,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-06-11,181231,40874,58921,   12693,    -614,    7488
101326,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-06-04,168538,41488,51433,    2607,    2729,    -892
101327,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-05-28,165931,38759,52325,    3627,    -766,    -742
101328,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-05-21,162304,39525,53067,    2554,    -445,   -4358
101329,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-05-14,159750,39970,57425,     963,   -2642,   -4377
101330,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-05-07,158787,42612,61802,   -7255,    -632,   -5441
101331,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-04-30,166042,43244,67243,   -6270,    -122,    2488
101332,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-04-23,172312,43366,64755,  -15138,   -1488,   -4226
101333,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-04-16,187450,44854,68981,    4731,   -2859,   -6571
101334,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-04-09,182719,47713,75552,    2775,   -1159,    -325
101335,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-04-02,179944,48872,75877,    6965,   -1084,    5734
101336,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-03-26,172979,49956,70143,    4363,    1920,    5937
101337,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-03-19,168616,48036,64206,   10116,    -115,    9911
101338,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-03-12,158500,48151,54295,    -985,   -1177,    -620
101339,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-03-05,159485,49328,54915,   -1695,    2537,    7396
101340,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-02-26,161180,46791,47519,  -17192,  -11784,   -1739
101341,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-02-19,178372,58575,49258,    3931,   -1529,    5016
101342,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-02-12,174441,60104,44242,   -9500,   -1797,   -1455
101343,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-02-05,183941,61901,45697,   15448,   11229,    4392
101344,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-01-29,168493,50672,41305,    6594,    2438,    2606
101345,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-01-22,161899,48234,38699,    6210,     104,    2551
101346,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-01-15,155689,48130,36148,    -556,    1116,    1510
101347,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-01-08,156245,47014,34638,    9697,    1528,   -1517
101348,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-12-31,146548,45486,36155,   -1901,    -114,   -1734
101349,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-12-24,148449,45600,37889,   -5366,   -5935,    1408
101350,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-12-18,153815,51535,36481,    2505,    2942,     519
101351,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-12-11,151310,48593,35962,    7317,    4287,     708
101352,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-12-04,143993,44306,35254,   -1320,    6180,   -5851
101353,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-11-27,145313,38126,41105,   -2435,   -1495,   -1947
101354,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-11-20,147748,39621,43052,   -4136,   -1972,   -2965
101355,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-11-13,151884,41593,46017,   -3512,    -439,    1788
101356,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-11-06,155396,42032,44229,   -1173,   -3557,   -3654
101357,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-10-30,156569,45589,47883,    3005,   -3205,    5992
101358,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-10-23,153564,48794,41891,    3268,   -3982,     610
101359,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-10-16,150296,52776,41281,   -1708,   -1829,   -1505
101360,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-10-09,152004,54605,42786,    -260,    -210,   -3015
101361,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-10-02,152264,54815,45801,       1,     210,   -3672
101362,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-09-25,152263,54605,49473,    3165,    3600,    1472
101363,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-09-18,149098,51005,48001,    1468,    1456,     981
101364,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-09-11,147630,49549,47020,   11118,   10716,   -1872
101365,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-09-04,136512,38833,48892,   -8702,   -2812,    -849
101366,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-08-28,145214,41645,49741,   -4247,     872,   -3911
101367,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-08-21,149461,40773,53652,   -6783,    1890,   -3002
101368,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-08-14,156244,38883,56654,   11185,    -790,    -279
101369,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-08-07,145059,39673,56933,    2285,    1001,    3541
101370,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-07-31,142774,38672,53392,     379,   -2093,    -442
101371,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-07-24,142395,40765,53834,    4297,     967,    5749
101372,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-07-17,138098,39798,48085,    3999,     408,   -1670
101373,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-07-10,134099,39390,49755,   -1583,    1569,   -1284
101374,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-07-03,135682,37821,51039,  -10760,    -632,   -4258
101375,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-06-26,146442,38453,55297,    1597,     697,    3259
101376,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-06-19,144845,37756,52038,   -7239,   -1037,   -1707
101377,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-06-12,152084,38793,53745,   -4168,   -1466,   -3151
101378,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-06-05,156252,40259,56896,    7558,    -380,    4619
101379,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-05-29,148694,40639,52277,   -1495,     455,    1995
101380,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-05-22,150189,40184,50282,    2255,   -1673,    4567
101381,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-05-15,147934,41857,45715,    3351,   -1062,    6327
101382,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-05-08,144583,42919,39388,     342,    1515,    1874
101383,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-05-01,144241,41404,37514,  -15015,    2717,    1149
101384,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-04-24,159256,38687,36365,     137,   -2325,   -3390
101385,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-04-17,159119,41012,39755,   10651,    -300,   -1138
101386,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-04-10,148468,41312,40893,   -8101,   -6866,    2244
101387,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-04-03,156569,48178,38649,    4532,    3808,    2353
101388,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-03-27,152037,44370,36296,   -2357,   -4465,    -264
101389,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-03-20,154394,48835,36560,    3426,    5411,    2208
101390,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-03-13,150968,43424,34352,   -1773,   -1359,    1154
101391,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-03-06,152741,44783,33198,    -571,     883,    -191
101392,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-02-28,153312,43900,33389,   -9213,     729,    -245
101393,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-02-21,162525,43171,33634,   -1966,     890,    1062
101394,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-02-14,164491,42281,32572,    4461,    1703,    -964
101395,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-02-07,160030,40578,33536,    8243,    2913,      54
101396,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-01-31,151787,37665,33482,    9036,    1634,    1974
101397,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-01-24,142751,36031,31508,   10294,    1984,    -228
101398,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-01-17,132457,34047,31736,    5819,    2634,   -1387
101399,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-01-10,126638,31413,33123,    5844,    1784,    1946
101400,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2012-01-03,120794,29629,31177,    3641,     960,   -1084
101401,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-12-27,117153,28669,32261,    1103,     330,   -1033
101402,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-12-20,116050,28339,33294,      57,    1299,    2898
101403,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-12-13,115993,27040,30396,    2741,     325,    1049
101404,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-12-06,113252,26715,29347,     878,     290,    -386
101405,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-11-29,112374,26425,29733,  -11815,     353,    -561
101406,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-11-22,124189,26072,30294,   -5802,    -920,    2188
101407,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-11-15,129991,26992,28106,    6419,     295,    1721
101408,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-11-08,123572,26697,26385,   -2791,   -1944,    -469
101409,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-11-01,126363,28641,26854,   -3530,     266,   -4459
101410,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-10-25,129893,28375,31313,     879,     265,   -2136
101411,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-10-18,129014,28110,33449,    6146,     139,   -1581
101412,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-10-11,122868,27971,35030,    1369,     -69,    3572
101413,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-10-04,121499,28040,31458,    1608,   -1820,     136
101414,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-09-27,119891,29860,31322,   -5640,   -1791,   -3628
101415,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-09-20,125531,31651,34950,    7148,     951,    6078
101416,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-09-13,118383,30700,28872,    2511,      18,    1687
101417,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-09-06,115872,30682,27185,      57,    1932,    1137
101418,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-08-30,115815,28750,26048,  -10565,     612,    1760
101419,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-08-23,126380,28138,24288,     707,     570,    2614
101420,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-08-16,125673,27568,21674,   -2802,   -6807,   -1840
101421,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-08-09,128475,34375,23514,  -27614,  -16661,   -3259
101422,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-08-02,156089,51036,26773,     -51,    -570,    -242
101423,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-07-26,156140,51606,27015,    3264,    2050,    1208
101424,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-07-19,152876,49556,25807,    6012,    1284,    1321
101425,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-07-12,146864,48272,24486,    8237,    7738,    2915
101426,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-07-05,138627,40534,21571,   14391,   10938,    1980
101427,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-06-28,124236,29596,19591,   -9613,    -904,   -1144
101428,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-06-21,133849,30500,20735,    1233,    -622,     347
101429,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-06-14,132616,31122,20388,    9621,    1078,      72
101430,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-06-07,122995,30044,20316,    -924,     881,    1133
101431,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-05-31,123919,29163,19183,    3090,     781,   -3171
101432,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-05-24,120829,28382,22354,    1080,   -1311,     406
101433,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-05-17,119749,29693,21948,    -554,   -4752,    -678
101434,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-05-10,120303,34445,22626,   -5595,   -5958,    3227
101435,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-05-03,125898,40403,19399,   -4951,   -1673,    1001
101436,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-04-26,130849,42076,18398,   -1534,   -1591,    -210
101437,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-04-19,132383,43667,18608,   -9702,   -9306,   -3375
101438,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-04-12,142085,52973,21983,    7792,    6705,   -1901
101439,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-04-05,134293,46268,23884,   -1589,   -1404,    3256
101440,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-03-29,135882,47672,20628,    2169,    3183,   -2039
101441,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-03-22,133713,44489,22667,   -1026,   -1704,    -164
101442,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-03-15,134739,46193,22831,   -7034,   -2910,   -1962
101443,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-03-08,141773,49103,24793,   -5808,   -1217,    1092
101444,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-03-01,147581,50320,23701,   -4312,   -3489,   -6878
101445,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-02-22,151893,53809,30579,   -7575,   -5897,     -88
101446,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-02-15,159468,59706,30667,   -2795,   -3381,   -2960
101447,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-02-08,162263,63087,33627,    2004,    5781,    1032
101448,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-02-01,160259,57306,32595,    4449,    3345,    2546
101449,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-01-25,155810,53961,30049,  -10063,   -8544,   -2267
101450,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-01-18,165873,62505,32316,     385,     975,     893
101451,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-01-11,165488,61530,31423,    -801,    -328,    1178
101452,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2011-01-04,166289,61858,30245,   -1045,      21,     210
101453,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-12-28,167334,61837,30035,     912,    2033,    2394
101454,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-12-21,166422,59804,27641,    2876,    1517,    -378
101455,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-12-14,163546,58287,28019,    5871,    4720,     884
101456,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-12-07,157675,53567,27135,    9426,    5783,     458
101457,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-11-30,148249,47784,26677,    2195,    1687,    3370
101458,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-11-23,146054,46097,23307,   -6278,   -3889,    -719
101459,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-11-16,152332,49986,24026,  -11713,   -5580,   -1451
101460,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-11-09,164045,55566,25477,     836,    2981,   -1900
101461,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-11-02,163209,52585,27377,   -3854,   -2675,   -1420
101462,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-10-26,167063,55260,28797,    4208,     957,     644
101463,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-10-19,162855,54303,28153,    3938,    1509,    -573
101464,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-10-12,158917,52794,28726,    5460,    1211,    1542
101465,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-10-05,153457,51583,27184,    5713,    3200,     963
101466,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-09-28,147744,48383,26221,    4789,    4506,    -575
101467,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-09-21,142955,43877,26796,    1927,    1733,    1061
101468,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-09-14,141028,42144,25735,    3949,     386,   -1240
101469,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-09-07,137079,41758,26975,    2873,    2366,     813
101470,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-08-31,134206,39392,26162,   -5671,    3088,    -728
101471,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-08-24,139877,36304,26890,   -1057,   -4806,     259
101472,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-08-17,140934,41110,26631,    1268,     878,    3045
101473,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-08-10,139666,40232,23586,   -2172,    2248,   -1438
101474,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-08-03,141838,37984,25024,    5829,    2138,     428
101475,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-07-27,136009,35846,24596,    3298,    3254,   -4081
101476,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-07-20,132711,32592,28677,    2773,     772,    1215
101477,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-07-13,129938,31820,27462,    2055,     200,   -1973
101478,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-07-06,127883,31620,29435,   -2509,    -348,     329
101479,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-06-29,130392,31968,29106,   -9540,   -1406,   -2795
101480,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-06-22,139932,33374,31901,    2667,      68,      31
101481,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-06-15,137265,33306,31870,    5466,   -1041,   -1195
101482,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-06-08,131799,34347,33065,    4781,    1580,    5609
101483,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-06-01,127018,32767,27456,   -1712,     175,   -1153
101484,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-05-25,128730,32592,28609,     176,   -2666,     576
101485,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-05-18,128554,35258,28033,   -2437,    -834,    2539
101486,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-05-11,130991,36092,25494,  -11327,   -6550,   -3658
101487,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-05-04,142318,42642,29152,   -9506,   -5310,    1010
101488,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-04-27,151824,47952,28142,   -2130,   -2509,   -1405
101489,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-04-20,153954,50461,29547,    3648,   -2997,    -443
101490,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-04-13,150306,53458,29990,   -1082,    2928,    2406
101491,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-04-06,151388,50530,27584,    9871,    3327,    2038
101492,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-03-30,141517,47203,25546,    9023,    4567,     961
101493,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-03-23,132494,42636,24585,    2368,     348,    1301
101494,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-03-16,130126,42288,23284,    2513,     375,    -351
101495,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-03-09,127613,41913,23635,    1735,    3041,     630
101496,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-03-02,125878,38872,23005,    -516,    -119,     -22
101497,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-02-23,126394,38991,23027,      31,    1269,    -615
101498,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-02-16,126363,37722,23642,    2287,    1825,    1395
101499,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-02-09,124076,35897,22247,   -8037,   -4541,      81
101500,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-02-02,132113,40438,22166,   -8570,   -8289,    2209
101501,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-01-26,140683,48727,19957,   -2329,   -2035,   -3138
101502,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-01-19,143012,50762,23095,   -8309,   -1212,   -6338
101503,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-01-12,151321,51974,29433,   -7218,     236,   -5777
101504,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2010-01-05,158539,51738,35210,    3980,    1265,    -729
101505,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-12-29,154559,50473,35939,    8922,    7143,    1184
101506,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-12-22,145637,43330,34755,   -2054,   -2341,    -439
101507,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-12-15,147691,45671,35194,    -259,   -2457,    -308
101508,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-12-08,147950,48128,35502,    -859,    1669,     263
101509,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-12-01,148809,46459,35239,   -3192,     381,     297
101510,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-11-24,152001,46078,34942,     550,    1482,    -403
101511,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-11-17,151451,44596,35345,    7753,    5947,    4258
101512,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-11-09,143698,38649,31087,    3036,     147,    1647
101513,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-11-03,140662,38502,29440,    2231,     667,     660
101514,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-10-27,138431,37835,28780,    5331,    4887,   -2483
101515,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-10-20,133100,32948,31263,   11436,    7591,    4077
101516,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-10-13,121664,25357,27186,    2584,    1079,   -1863
101517,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-10-06,119080,24278,29049,    5206,    2177,     667
101518,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-09-29,113874,22101,28382,   -3374,   -2341,     403
101519,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-09-22,117248,24442,27979,    -735,   -1994,    -790
101520,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-09-15,117983,26436,28769,    -165,   -1497,   -1412
101521,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-09-08,118148,27933,30181,   -1379,    -344,   -1644
101522,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-09-01,119527,28277,31825,    1073,    -612,    1692
101523,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-08-25,118454,28889,30133,    1751,    1458,    1445
101524,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-08-18,116703,27431,28688,   -1038,      -2,   -9155
101525,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-08-11,117741,27433,37843,   -4184,     177,     -67
101526,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-08-04,121925,27256,37910,    1446,    2021,   -1900
101527,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-07-28,120479,25235,39810,    4488,    2221,     736
101528,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-07-21,115991,23014,39074,    9723,    5407,    1330
101529,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-07-14,106268,17607,37744,    3842,    -364,   -1188
101530,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-07-07,102426,17971,38932,   -1763,     -58,     839
101531,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-06-30,104189,18029,38093,   -5347,    -576,   -2247
101532,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-06-23,109536,18605,40340,   -5785,   -2642,     629
101533,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-06-16,115321,21247,39711,    5501,    1457,    1152
101534,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-06-09,109820,19790,38559,   -1537,   -1695,   -1580
101535,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-06-02,111357,21485,40139,    3726,    1651,    2593
101536,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-05-26,107631,19834,37546,    1840,    1450,     354
101537,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-05-19,105791,18384,37192,   -2679,     -19,      50
101538,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-05-12,108470,18403,37142,    3851,    -589,    -388
101539,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-05-05,104619,18992,37530,   -1551,    -988,    -335
101540,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-04-28,106170,19980,37865,    2434,    1476,    -119
101541,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-04-21,103736,18504,37984,   -3022,     630,    1249
