,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
108524,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100504,2010-05-04,095741,CME,0,95,118206,91669,8626,128,19957,107529,111754,116283,6452,1923,118206,91669,8626,128,19957,107529,111754,116283,6452,1923,0,0,0,0,0,0,0,0,0,0,   -9710,  -15887,    -889,     128,    6308,   -8435,   -9451,   -9196,    -259,    -514,100.0,77.6,7.3,0.1,16.9,91.0,94.5,98.4,5.5,1.6,100.0,77.6,7.3,0.1,16.9,91.0,94.5,98.4,5.5,1.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,52,16,2,19,19,72,36,103,52,16,2,19,19,72,36,0,0,0,0,0,0,0,0,57.6,68.2,70.4,83.4,57.6,68.0,70.4,83.2,57.6,68.2,70.4,83.4,57.6,68.0,70.4,83.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108523,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100511,2010-05-11,095741,CME,0,95,95941,47507,5549,0,43754,88600,91261,94149,4680,1792,95941,47507,5549,0,43754,88600,91261,94149,4680,1792,0,0,0,0,0,0,0,0,0,0,  -22265,  -44162,   -3077,    -128,   23797,  -18929,  -20493,  -22134,   -1772,    -131,100.0,49.5,5.8,0.0,45.6,92.3,95.1,98.1,4.9,1.9,100.0,49.5,5.8,0.0,45.6,92.3,95.1,98.1,4.9,1.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,34,13,0,20,18,54,31,80,34,13,0,20,18,54,31,0,0,0,0,0,0,0,0,56.6,69.9,69.1,86.8,56.6,69.6,69.0,85.0,56.6,69.9,69.1,86.8,56.6,69.6,69.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108522,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100518,2010-05-18,095741,CME,0,95,85778,42037,6335,20,38938,77884,80995,84239,4783,1539,85778,42037,6335,20,38938,77884,80995,84239,4783,1539,0,0,0,0,0,0,0,0,0,0,  -10163,   -5470,     786,      20,   -4816,  -10716,  -10266,   -9910,     103,    -253,100.0,49.0,7.4,0.0,45.4,90.8,94.4,98.2,5.6,1.8,100.0,49.0,7.4,0.0,45.4,90.8,94.4,98.2,5.6,1.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,27,15,1,21,19,48,35,75,27,15,1,21,19,48,35,0,0,0,0,0,0,0,0,52.8,72.7,67.7,86.0,52.8,70.8,67.6,83.9,52.8,72.7,67.7,86.0,52.8,70.8,67.6,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108521,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100525,2010-05-25,095741,CME,0,95,85238,34203,5346,141,46173,77086,80517,82573,4721,2665,85238,34203,5346,141,46173,77086,80517,82573,4721,2665,0,0,0,0,0,0,0,0,0,0,    -540,   -7834,    -989,     121,    7235,    -798,    -478,   -1666,     -62,    1126,100.0,40.1,6.3,0.2,54.2,90.4,94.5,96.9,5.5,3.1,100.0,40.1,6.3,0.2,54.2,90.4,94.5,96.9,5.5,3.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,24,15,1,20,18,45,34,72,24,15,1,20,18,45,34,0,0,0,0,0,0,0,0,51.8,72.4,70.3,86.0,51.8,70.2,70.2,81.8,51.8,72.4,70.3,86.0,51.8,70.2,70.2,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108520,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100601,2010-06-01,095741,CME,0,95,79114,26142,6369,0,48892,70442,75034,76811,4080,2303,79114,26142,6369,0,48892,70442,75034,76811,4080,2303,0,0,0,0,0,0,0,0,0,0,   -6124,   -8061,    1023,    -141,    2719,   -6644,   -5483,   -5762,    -641,    -362,100.0,33.0,8.1,0.0,61.8,89.0,94.8,97.1,5.2,2.9,100.0,33.0,8.1,0.0,61.8,89.0,94.8,97.1,5.2,2.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,23,16,0,23,19,46,35,75,23,16,0,23,19,46,35,0,0,0,0,0,0,0,0,49.3,72.9,67.6,85.1,49.3,70.5,67.5,81.9,49.3,72.9,67.6,85.1,49.3,70.5,67.5,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108519,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100608,2010-06-08,095741,CME,0,95,88262,24249,6823,451,59623,78990,84323,86264,3939,1998,88262,24249,6823,451,59623,78990,84323,86264,3939,1998,0,0,0,0,0,0,0,0,0,0,    9148,   -1893,     454,     451,   10731,    8548,    9289,    9453,    -141,    -305,100.0,27.5,7.7,0.5,67.6,89.5,95.5,97.7,4.5,2.3,100.0,27.5,7.7,0.5,67.6,89.5,95.5,97.7,4.5,2.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,20,17,2,24,21,44,40,73,20,17,2,24,21,44,40,0,0,0,0,0,0,0,0,53.8,66.6,71.8,83.6,44.2,61.4,60.9,72.1,53.8,66.6,71.8,83.6,44.2,61.4,60.9,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108529,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100330,2010-03-30,095741,CME,0,95,131061,113370,3772,439,9685,124757,123494,128968,7567,2093,131061,113370,3772,439,9685,124757,123494,128968,7567,2093,0,0,0,0,0,0,0,0,0,0,   -1779,   -1316,   -1052,      54,    -437,   -1141,   -1699,   -2139,     -80,     360,100.0,86.5,2.9,0.3,7.4,95.2,94.2,98.4,5.8,1.6,100.0,86.5,2.9,0.3,7.4,95.2,94.2,98.4,5.8,1.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,58,11,2,12,21,70,34,99,58,11,2,12,21,70,34,0,0,0,0,0,0,0,0,62.3,67.1,73.8,86.0,62.3,66.7,73.8,85.6,62.3,67.1,73.8,86.0,62.3,66.7,73.8,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108518,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100615,2010-06-15,095741,CME,0,95,52676,33414,5117,28,14151,46245,47593,51390,5083,1286,52676,33414,5117,28,14151,46245,47593,51390,5083,1286,0,0,0,0,0,0,0,0,0,0,  -35586,    9165,   -1706,    -423,  -45472,  -32745,  -36730,  -34874,    1144,    -712,100.0,63.4,9.7,0.1,26.9,87.8,90.4,97.6,9.6,2.4,100.0,63.4,9.7,0.1,26.9,87.8,90.4,97.6,9.6,2.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,26,17,1,13,16,39,34,69,26,17,1,13,16,39,34,0,0,0,0,0,0,0,0,58.8,64.7,69.4,82.7,58.8,63.9,69.2,81.8,58.8,64.7,69.4,82.7,58.8,63.9,69.2,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108516,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100629,2010-06-29,095741,CME,0,95,66846,45712,3216,1,15277,62175,60990,65392,5856,1454,66846,45712,3216,1,15277,62175,60990,65392,5856,1454,0,0,0,0,0,0,0,0,0,0,    6190,    4915,   -1942,     -30,    1061,    7761,    5946,    5789,     244,     401,100.0,68.4,4.8,0.0,22.9,93.0,91.2,97.8,8.8,2.2,100.0,68.4,4.8,0.0,22.9,93.0,91.2,97.8,8.8,2.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,37,12,1,14,18,51,31,79,37,12,1,14,18,51,31,0,0,0,0,0,0,0,0,53.9,65.5,69.0,85.3,53.9,65.1,69.0,84.9,53.9,65.5,69.0,85.3,53.9,65.1,69.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
108515,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,100706,2010-07-06,095741,CME,0,95,61340,30858,8133,2,25463,51364,56323,59499,5017,1841,61340,30858,8133,2,25463,51364,56323,59499,5017,1841,0,0,0,0,0,0,0,0,0,0,   -5506,  -14854,    4917,       1,   10186,  -10811,   -4667,   -5893,    -839,     387,100.0,50.3,13.3,0.0,41.5,83.7,91.8,97.0,8.2,3.0,100.0,50.3,13.3,0.0,41.5,83.7,91.8,97.0,8.2,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,23,19,1,18,17,41,37,74,23,19,1,18,17,41,37,0,0,0,0,0,0,0,0,53.5,60.1,69.3,78.3,53.5,59.6,69.3,77.8,53.5,60.1,69.3,78.3,53.5,59.6,69.3,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF MXN 500,000)",095741,CME,95
