,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
114460,EURO FX - CHICAGO MERCANTILE EXCHANGE,1107,2000-11-07,099741,CME,0,99,73922,11615,7837,96,28448,48798,40159,56731,33763,17191,73922,11615,7837,96,28448,48798,40159,56731,33763,17191,0,0,0,0,0,0,0,0,0,0,   -1728,     520,   -1085,       2,    -759,     779,    -237,    -304,   -1491,   -1424,100.0,15.7,10.6,0.1,38.5,66.0,54.3,76.7,45.7,23.3,100.0,15.7,10.6,0.1,38.5,66.0,54.3,76.7,45.7,23.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,15,6,3,23,21,38,30,57,15,6,3,23,21,38,30,0,0,0,0,0,0,0,0,19.8,47.1,30.8,63.1,18.0,44.5,27.9,57.9,19.8,47.1,30.8,63.1,18.0,44.5,27.9,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114459,EURO FX - CHICAGO MERCANTILE EXCHANGE,1114,2000-11-14,099741,CME,0,99,78068,11197,8462,93,32903,52762,44193,61317,33875,16751,78068,11197,8462,93,32903,52762,44193,61317,33875,16751,0,0,0,0,0,0,0,0,0,0,    4146,    -418,     625,      -3,    4455,    3964,    4034,    4586,     112,    -440,100.0,14.3,10.8,0.1,42.1,67.6,56.6,78.5,43.4,21.5,100.0,14.3,10.8,0.1,42.1,67.6,56.6,78.5,43.4,21.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,14,6,2,28,23,42,31,61,14,6,2,28,23,42,31,0,0,0,0,0,0,0,0,18.9,47.3,31.1,63.4,17.9,42.5,28.4,58.6,18.9,47.3,31.1,63.4,17.9,42.5,28.4,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114458,EURO FX - CHICAGO MERCANTILE EXCHANGE,1121,2000-11-21,099741,CME,0,99,81781,11397,5489,103,35273,56874,46773,62466,35008,19315,81781,11397,5489,103,35273,56874,46773,62466,35008,19315,0,0,0,0,0,0,0,0,0,0,    3713,     200,   -2973,      10,    2370,    4112,    2580,    1149,    1133,    2564,100.0,13.9,6.7,0.1,43.1,69.5,57.2,76.4,42.8,23.6,100.0,13.9,6.7,0.1,43.1,69.5,57.2,76.4,42.8,23.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,14,6,3,28,24,43,32,63,14,6,3,28,24,43,32,0,0,0,0,0,0,0,0,18.3,44.8,29.2,61.7,17.2,40.3,26.9,57.2,18.3,44.8,29.2,61.7,17.2,40.3,26.9,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114457,EURO FX - CHICAGO MERCANTILE EXCHANGE,1128,2000-11-28,099741,CME,0,99,85904,11221,4280,103,37403,64284,48727,68667,37177,17237,85904,11221,4280,103,37403,64284,48727,68667,37177,17237,0,0,0,0,0,0,0,0,0,0,    4123,    -176,   -1209,       0,    2130,    7410,    1954,    6201,    2169,   -2078,100.0,13.1,5.0,0.1,43.5,74.8,56.7,79.9,43.3,20.1,100.0,13.1,5.0,0.1,43.5,74.8,56.7,79.9,43.3,20.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,13,5,3,28,22,42,29,59,13,5,3,28,22,42,29,0,0,0,0,0,0,0,0,17.2,51.1,27.7,68.3,15.8,46.8,25.7,63.8,17.2,51.1,27.7,68.3,15.8,46.8,25.7,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114456,EURO FX - CHICAGO MERCANTILE EXCHANGE,1205,2000-12-05,099741,CME,0,99,89752,16995,967,35,35485,75350,52515,76352,37237,13400,89752,16995,967,35,35485,75350,52515,76352,37237,13400,0,0,0,0,0,0,0,0,0,0,    3848,    5774,   -3313,     -68,   -1918,   11066,    3788,    7685,      60,   -3837,100.0,18.9,1.1,0.0,39.5,84.0,58.5,85.1,41.5,14.9,100.0,18.9,1.1,0.0,39.5,84.0,58.5,85.1,41.5,14.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,16,2,3,26,27,42,32,61,16,2,3,26,27,42,32,0,0,0,0,0,0,0,0,18.3,53.4,30.8,73.4,17.9,49.6,28.2,69.1,18.3,53.4,30.8,73.4,17.9,49.6,28.2,69.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114455,EURO FX - CHICAGO MERCANTILE EXCHANGE,1212,2000-12-12,099741,CME,0,99,98322,20411,879,154,37199,83304,57764,84337,40558,13985,98322,20411,879,154,37199,83304,57764,84337,40558,13985,0,0,0,0,0,0,0,0,0,0,    8570,    3416,     -88,     119,    1714,    7954,    5249,    7985,    3321,     585,100.0,20.8,0.9,0.2,37.8,84.7,58.7,85.8,41.3,14.2,100.0,20.8,0.9,0.2,37.8,84.7,58.7,85.8,41.3,14.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,18,1,6,24,26,43,32,57,18,1,6,24,26,43,32,0,0,0,0,0,0,0,0,17.1,53.9,28.9,74.1,16.4,50.1,26.5,70.3,17.1,53.9,28.9,74.1,16.4,50.1,26.5,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114454,EURO FX - CHICAGO MERCANTILE EXCHANGE,1219,2000-12-19,099741,CME,0,99,77326,22289,475,38,15586,67727,37913,68240,39413,9086,77326,22289,475,38,15586,67727,37913,68240,39413,9086,0,0,0,0,0,0,0,0,0,0,  -20996,    1878,    -404,    -116,  -21613,  -15577,  -19851,  -16097,   -1145,   -4899,100.0,28.8,0.6,0.0,20.2,87.6,49.0,88.2,51.0,11.8,100.0,28.8,0.6,0.0,20.2,87.6,49.0,88.2,51.0,11.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,17,2,3,18,18,36,22,51,17,2,3,18,18,36,22,0,0,0,0,0,0,0,0,17.6,60.7,27.2,78.8,17.6,60.3,27.2,78.3,17.6,60.7,27.2,78.8,17.6,60.3,27.2,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114453,EURO FX - CHICAGO MERCANTILE EXCHANGE,1226,2000-12-26,099741,CME,0,99,84237,28255,1875,27,15504,70687,43786,72589,40451,11648,84237,28255,1875,27,15504,70687,43786,72589,40451,11648,0,0,0,0,0,0,0,0,0,0,    6911,    5966,    1400,     -11,     -82,    2960,    5873,    4349,    1038,    2562,100.0,33.5,2.2,0.0,18.4,83.9,52.0,86.2,48.0,13.8,100.0,33.5,2.2,0.0,18.4,83.9,52.0,86.2,48.0,13.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,23,2,2,16,18,39,22,56,23,2,2,16,18,39,22,0,0,0,0,0,0,0,0,18.6,61.0,28.0,75.7,18.6,60.7,28.0,75.4,18.6,61.0,28.0,75.7,18.6,60.7,28.0,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114452,EURO FX - CHICAGO MERCANTILE EXCHANGE,10102,2001-01-02,099741,CME,0,99,84654,28678,1604,6,16458,72543,45142,74153,39512,10501,84654,28678,1604,6,16458,72543,45142,74153,39512,10501,0,0,0,0,0,0,0,0,0,0,     417,     423,    -271,     -21,     954,    1856,    1356,    1564,    -939,   -1147,100.0,33.9,1.9,0.0,19.4,85.7,53.3,87.6,46.7,12.4,100.0,33.9,1.9,0.0,19.4,85.7,53.3,87.6,46.7,12.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,24,3,2,18,20,43,24,59,24,3,2,18,20,43,24,0,0,0,0,0,0,0,0,17.2,60.8,26.0,75.6,17.2,60.3,26.0,75.0,17.2,60.8,26.0,75.6,17.2,60.3,26.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114451,EURO FX - CHICAGO MERCANTILE EXCHANGE,10109,2001-01-09,099741,CME,0,99,92722,25570,1738,229,23388,76659,49187,78626,43535,14096,92722,25570,1738,229,23388,76659,49187,78626,43535,14096,0,0,0,0,0,0,0,0,0,0,    8068,   -3108,     134,     223,    6930,    4116,    4045,    4473,    4023,    3595,100.0,27.6,1.9,0.2,25.2,82.7,53.0,84.8,47.0,15.2,100.0,27.6,1.9,0.2,25.2,82.7,53.0,84.8,47.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,23,1,2,20,18,43,21,55,23,1,2,20,18,43,21,0,0,0,0,0,0,0,0,15.7,60.0,25.2,75.9,15.6,59.5,25.1,74.8,15.7,60.0,25.2,75.9,15.6,59.5,25.1,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
