,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
46,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-12,229723,41591,132431,   -4473,  -12375,   -6278
47,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-05,234196,53966,138709,   29204,    4326,    9893
48,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-27,204992,49640,128816,    -664,     540,   -2159
49,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-20,205656,49100,130975,    6171,    1695,    4594
50,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-13,199485,47405,126381,   18692,    8163,   15326
51,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-06,180793,39242,111055,   15262,    2286,   15804
52,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-30,165531,36956,95251,    3532,   -5897,   -1722
53,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-23,161999,42853,96973,   -1443,   -2959,    3304
54,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,163442,45812,93669,    7067,   -1514,   14069
55,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,156375,47326,79600,    -628,    2884,   -7735
56,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,157003,44442,87335,    4268,    5431,   -2979
57,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-26,152735,39011,90314,    5070,    3734,    4360
58,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-19,147665,35277,85954,  -61262,    4310,    2647
59,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-12,208927,30967,83307,   13358,   -1919,   -7260
60,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-05,195569,32886,90567,   -1484,    3683,   -9855
61,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-28,197053,29203,100422,     455,    -362,   -7113
62,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-21,196598,29565,107535,    -871,   -3163,    3851
63,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-14,197469,32728,103684,    4973,   -1321,    4072
64,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-07,192496,34049,99612,   -4370,    1244,   -8303
65,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-31,196866,32805,107915,    2200,    4787,   -3184
66,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-24,194666,28018,111099,   -1378,   -3547,   -1205
67,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-17,196044,31565,112304,    5911,    -262,    3900
68,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-10,190133,31827,108404,  -17649,   -7638,  -13048
69,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-03,207782,39465,121452,   -4100,    3361,   -1467
70,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-26,211882,36104,122919,   -9347,    -676,  -10807
71,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-19,221229,36780,133726,  -34990,  -10529,    6884
72,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-12,256219,47309,126842,   15018,   -6723,  -10727
73,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-05,241201,54032,137569,   17712,   -7344,    6008
74,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-29,223489,61376,131561,   -3466,  -10658,   -4259
75,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-22,226955,72034,135820,   22497,    3411,   13800
76,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-15,204458,68623,122020,   21616,    7532,   17737
77,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-08,182842,61091,104283,   21544,   14479,    5879
78,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-01,161298,46612,98404,   14875,    7504,    8095
79,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-25,146423,39108,90309,   -2169,     856,    1656
80,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-18,148592,38252,88653,   -3903,   -5409,     -92
81,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-11,152495,43661,88745,   -1249,   -6509,   -6007
82,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-03,153744,50170,94752,   17409,    4945,   10103
83,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-27,136335,45225,84649,  -13563,    -518,  -10710
84,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-20,149898,45743,95359,  -32664,    6985,   -5144
85,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-13,182562,38758,100503,  -27118,  -15743,  -10466
86,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-06,209680,54501,110969,    4717,  -14468,   -2126
87,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-30,204963,68969,113095,   24825,   15550,   10595
88,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-23,180138,53419,102500,   13118,    9516,    5003
89,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-16,167020,43903,97497,    1488,    2678,    7079
90,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-09,165532,41225,90418,  -15697,  -11115,   -6932
91,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-02,181229,52340,97350,    2472,   -1901,    3647
92,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-25,178757,54241,93703,   19049,    9631,    6737
93,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-18,159708,44610,86966,     267,    -871,    3548
94,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-11,159441,45481,83418,    8199,   -1206,    9498
95,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-04,151242,46687,73920,       4,    2874,   -5246
96,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-28,151238,43813,79166,    -598,    2630,    -476
97,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-21,151836,41183,79642,    1778,    -502,   -2134
98,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-14,150058,41685,81776,   -7932,  -12622,    2645
99,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-07,157990,54307,79131,   31309,   13236,   13895
100,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-28,126681,41071,65236,    3225,    2579,    1956
101,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-21,123456,38492,63280,   -2577,    7740,    3621
102,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-14,126033,30752,59659,    2027,     708,    1510
103,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-07,124006,30044,58149,  -12298,   -6293,   -8780
104,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-31,136304,36337,66929,    6814,    6871,    4292
105,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-24,129490,29466,62637,    1277,     873,     424
106,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-17,128213,28593,62213,    2185,   -1617,   -1687
107,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-10,126028,30210,63900,   -6932,   -4998,   -7575
