,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
112412,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-11-24,91193,64881,18735,    1201,    -815,    -434
112413,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-11-17,89992,65696,19169,    5514,    4302,    1559
112414,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-11-10,84478,61394,17610,    7662,    8391,    4533
112415,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-11-03,76816,53003,13077,    1427,    3956,   -1279
112416,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-10-27,75389,49047,14356,   -6106,    1469,   -5019
112417,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-10-20,81495,47578,19375,    8761,   -1471,    9201
112418,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-10-13,72734,49049,10174,    1777,   -5607,    1509
112419,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-10-06,70957,54656,8665,    -521,     152,    -138
112420,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-09-29,71478,54504,8803,    3145,    3030,   -1883
112421,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-09-22,68333,51474,10686,    3042,    1613,     579
112422,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-09-15,65291,49861,10107,  -28993,  -13389,     256
112423,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-09-08,94284,63250,9851,   -5947,    2487,     283
112424,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-09-01,100231,60763,9568,    -702,   -6683,   -5638
112425,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-08-25,100933,67446,15206,   -4019,   -6766,    3940
112426,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-08-18,104952,74212,11266,    3347,    2301,    4947
112427,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-08-11,101605,71911,6319,    1090,    -705,   -1125
112428,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-08-04,100515,72616,7444,    4446,    2846,   -1149
112429,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-07-28,96069,69770,8593,   -2540,   -1177,     -85
112430,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-07-21,98609,70947,8678,    9890,    7081,    3522
112431,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-07-14,88719,63866,5156,    -573,    -608,     120
112432,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-07-07,89292,64474,5036,    6032,    5362,   -2680
112433,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-06-30,83260,59112,7716,   -2672,   -4584,   -3635
112434,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-06-23,85932,63696,11351,    -349,    -284,     791
112435,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-06-16,86281,63980,10560,  -19182,   -9473,     -16
112436,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-06-09,105463,73453,10576,    3289,     998,   -2157
112437,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-06-02,102174,72455,12733,   -1037,    2761,   -4665
112438,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-05-26,103211,69694,17398,    5161,    5319,    6506
112439,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-05-19,98050,64375,10892,   -1647,   -2928,   -1075
112440,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-05-12,99697,67303,11967,   -2403,   -5405,   -1814
112441,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-05-05,102100,72708,13781,  -10548,   -5416,     241
112442,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-04-28,112648,78124,13540,   -3270,   -7769,    -632
112443,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-04-21,115918,85893,14172,   -3103,   -4596,      90
112444,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-04-14,119021,90489,14082,    5331,    7085,    3484
112445,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-04-07,113690,83404,10598,   -5106,   -3856,   -3519
112446,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-03-31,118796,87260,14117,    2648,    3826,    1910
112447,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-03-24,116148,83434,12207,  -16400,  -13120,   -4621
112448,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-03-17,132548,96554,16828,  -15938,    -585,     959
112449,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-03-10,148486,97139,15869,   24505,   11426,   -2626
112450,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-03-03,123981,85713,18495,    5052,    4142,    5081
112451,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-02-24,118929,81571,13414,    3299,    4892,    2797
112452,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-02-17,115630,76679,10617,     814,   -2015,     861
112453,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-02-10,114816,78694,9756,  -10209,   -9441,   -6773
112454,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-02-03,125025,88135,16529,   -4470,   -4115,   -5048
112455,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-01-27,129495,92250,21577,    -582,   -4890,   -2395
112456,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-01-20,130077,97140,23972,    2573,    2458,    1250
112457,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-01-13,127504,94682,22722,    1421,   -2431,   -4605
112458,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-01-06,126083,97113,27327,   19545,   15543,   -5410
112459,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-12-30,106538,81570,32737,   12217,   12028,   11127
112460,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-12-23,94321,69542,21610,    6944,    7914,   -8054
112461,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-12-16,87377,61628,29664,   -6912,   -5735,   -1293
112462,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-12-09,94289,67363,30957,   -3165,   -3470,   -3721
112463,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-12-02,97454,70833,34678,    -551,   -1048,    1264
112464,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-11-25,98005,71881,33414,    7274,    4003,    4892
112465,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-11-18,90731,67878,28522,   -4475,   -2586,    -317
112466,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-11-11,95206,70464,28839,    3049,   -2359,   -1219
112467,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-11-04,92157,72823,30058,   12788,   10259,   17800
112468,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-10-28,79369,62564,12258,    -946,     -60,    -140
112469,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-10-21,80315,62624,12398,  -11703,   -8740,  -10000
112470,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-10-14,92018,71364,22398,   -2268,   -2335,   -1624
112471,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-10-07,94286,73699,24022,   -1302,   -3769,    2949
112472,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-09-30,95588,77468,21073,    2572,    1518,    2113
112473,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-09-23,93016,75950,18960,    2086,    1959,   -1668
112474,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-09-16,90930,73991,20628,    1390,    1766,  -19102
112475,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-09-09,89540,72225,39730,    1757,    2320,   -1024
112476,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-09-02,87783,69905,40754,   -3024,   -2656,   -2966
112477,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-08-26,90807,72561,43720,    1390,    2238,     584
112478,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-08-19,89417,70323,43136,    5203,    6000,    1997
112479,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-08-12,84214,64323,41139,    2214,     596,    1064
112480,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-08-05,82000,63727,40075,    7963,    7846,    3605
112481,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-07-29,74037,55881,36470,   16391,   14477,   13687
112482,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-07-22,57646,41404,22783,    3727,    3922,    2973
112483,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2014-07-15,53919,37482,19810,     -92,   -1250,     780
