,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
28,13037.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-07-16,83416,48962,27014,    1579,    1612,    2330
29,13038.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-07-09,81837,47350,24684,    5265,    2318,    3608
30,13039.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-07-02,76572,45032,21076,    -244,    1836,   -1517
31,13040.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-06-25,76816,43196,22593,  -10816,    -106,   -4845
32,13041.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-06-18,87632,43302,27438,   -2344,   -4161,   -4327
33,13042.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-06-11,89976,47463,31765,   -6291,   -8926,   -2058
34,13043.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-06-04,96267,56389,33823,    2679,   -1883,    3118
35,13044.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-05-28,93588,58272,30705,     847,    -207,    -125
36,13045.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-05-21,92741,58479,30830,    5566,    5165,    1963
37,13046.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-05-14,87175,53314,28867,    6498,    8082,   -2705
38,13047.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-05-07,80677,45232,31572,     535,    2700,   -4163
39,13048.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-04-30,80142,42532,35735,   -3554,   -4064,   -3397
40,13049.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-04-23,83696,46596,39132,    1862,   -5834,    4943
41,13050.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-04-16,81834,52430,34189,     409,    1100,    1866
42,13051.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-04-09,81425,51330,32323,    1326,    5485,   -4933
43,13052.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-04-02,80099,45845,37256,    -578,    2839,    1445
