,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
104008,GOLD - COMMODITY EXCHANGE INC.,860613,1986-06-13,088691,CMX,1,88,115960,11657,10839,5447,69558,66942,86662,83228,29298,32732,73267,11432,11002,838,36552,36016,48822,47856,24445,25411,42693,1360,972,3474,33006,30926,37840,35372,4853,7321,     922,    6675,   -2844,     -88,   -9104,   10040,   -2517,    7108,    3439,   -6186,100.0,10.1,9.3,4.7,60.0,57.7,74.7,71.8,25.3,28.2,100.0,15.6,15.0,1.1,49.9,49.2,66.6,65.3,33.4,34.7,100.0,3.2,2.3,8.1,77.3,72.4,88.6,82.9,11.4,17.1,90,22,18,5,26,42,50,63,84,19,18,2,18,38,39,56,23,3,1,3,13,18,16,22,41.3,29.4,53.6,38.4,30.4,16.1,35.0,20.3,40.7,18.7,49.0,27.3,38.7,18.1,46.0,24.7,64.7,57.4,78.0,70.2,21.2,17.9,26.0,21.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104007,GOLD - COMMODITY EXCHANGE INC.,860630,1986-06-30,088691,CMX,1,88,120954,5361,13631,5988,88561,62551,99910,82170,21044,38784,73967,5190,13393,1125,51396,27925,57711,42443,16256,31524,46987,942,1009,4092,37165,34626,42199,39727,4788,7260,    4994,   -6296,    2792,     541,   19003,   -4391,   13248,   -1058,   -8254,    6052,100.0,4.4,11.3,5.0,73.2,51.7,82.6,67.9,17.4,32.1,100.0,7.0,18.1,1.5,69.5,37.8,78.0,57.4,22.0,42.6,100.0,2.0,2.1,8.7,79.1,73.7,89.8,84.5,10.2,15.5,82,10,23,6,29,39,42,65,75,8,22,4,21,33,32,56,24,3,1,3,14,18,17,22,48.0,31.6,65.0,39.5,37.7,13.9,42.6,17.9,54.5,17.9,63.8,26.4,52.6,16.2,61.6,22.4,66.4,58.4,80.7,72.1,18.1,14.6,22.4,18.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104006,GOLD - COMMODITY EXCHANGE INC.,860715,1986-07-15,088691,CMX,1,88,121925,6735,11983,5771,86078,67675,98584,85429,23341,36496,69715,5894,12143,1197,43946,27642,51037,40982,18678,28733,52210,2097,1096,3318,42132,40033,47547,44447,4663,7763,     971,    1374,   -1648,    -217,   -2483,    5124,   -1326,    3259,    2297,   -2288,100.0,5.5,9.8,4.7,70.6,55.5,80.9,70.1,19.1,29.9,100.0,8.5,17.4,1.7,63.0,39.7,73.2,58.8,26.8,41.2,100.0,4.0,2.1,6.4,80.7,76.7,91.1,85.1,8.9,14.9,83,14,20,7,27,41,43,67,75,11,20,4,19,35,32,57,28,4,1,4,15,20,20,25,46.1,33.8,61.5,42.1,32.7,14.3,37.1,18.0,47.1,18.1,56.9,26.7,45.3,16.6,54.1,23.3,68.6,60.5,81.1,70.9,20.5,15.4,24.4,19.1,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104005,GOLD - COMMODITY EXCHANGE INC.,860731,1986-07-31,088691,CMX,1,88,125988,18617,9540,6294,69897,71940,94808,87774,31180,38214,72651,18433,10100,1687,26854,31184,46974,42971,25677,29680,53337,1840,1096,2951,43043,40756,47834,44803,5503,8534,    4063,   11882,   -2443,     523,  -16181,    4265,   -3776,    2345,    7839,    1718,100.0,14.8,7.6,5.0,55.5,57.1,75.3,69.7,24.7,30.3,100.0,25.4,13.9,2.3,37.0,42.9,64.7,59.1,35.3,40.9,100.0,3.4,2.1,5.5,80.7,76.4,89.7,84.0,10.3,16.0,90,25,16,6,27,44,55,63,82,22,15,3,21,38,46,53,28,4,1,4,16,20,20,25,38.2,33.5,48.1,41.1,21.7,14.6,28.2,18.9,25.5,19.3,36.7,28.8,25.2,15.7,36.4,23.7,67.1,59.9,79.5,69.5,22.4,17.9,26.3,21.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104004,GOLD - COMMODITY EXCHANGE INC.,860815,1986-08-15,088691,CMX,1,88,134903,23234,10589,7013,67333,82453,97580,100055,37323,34848,74557,21814,9935,1502,18969,38520,42285,49957,32272,24600,60346,2608,1842,4323,48364,43933,55295,50098,5051,10248,    8915,    4617,    1049,     719,   -2564,   10513,    2772,   12281,    6143,   -3366,100.0,17.2,7.8,5.2,49.9,61.1,72.3,74.2,27.7,25.8,100.0,29.3,13.3,2.0,25.4,51.7,56.7,67.0,43.3,33.0,100.0,4.3,3.1,7.2,80.1,72.8,91.6,83.0,8.4,17.0,94,29,17,8,24,43,56,65,90,26,18,6,16,39,46,59,30,4,2,3,17,21,21,26,35.7,31.9,45.5,41.3,19.6,15.6,25.1,20.1,24.2,17.4,34.0,26.3,23.9,15.8,32.1,23.6,62.5,56.3,77.1,65.8,25.9,19.5,30.3,23.2,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104003,GOLD - COMMODITY EXCHANGE INC.,860829,1986-08-29,088691,CMX,1,88,136959,23229,10291,7561,69541,84510,100331,102362,36628,34597,76207,23083,9055,3106,21102,41303,47291,53464,28916,22743,60752,1032,2122,3569,48439,43207,53040,48898,7712,11854,    2056,      -5,    -298,     548,    2208,    2057,    2751,    2307,    -695,    -251,100.0,17.0,7.5,5.5,50.8,61.7,73.3,74.7,26.7,25.3,100.0,30.3,11.9,4.1,27.7,54.2,62.1,70.2,37.9,29.8,100.0,1.7,3.5,5.9,79.7,71.1,87.3,80.5,12.7,19.5,99,29,21,7,25,43,58,67,93,27,20,5,19,39,49,61,30,5,2,3,18,19,23,24,34.8,31.2,44.9,40.8,21.5,15.0,27.4,19.7,26.4,18.6,38.3,29.0,26.0,15.0,34.2,23.2,60.9,55.5,71.5,64.7,24.1,19.3,27.6,22.7,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104002,GOLD - COMMODITY EXCHANGE INC.,860915,1986-09-15,088691,CMX,1,88,149809,24807,10423,12560,69388,95797,106755,118780,43054,31029,86431,25875,9917,4336,18006,49457,48217,63710,38214,22721,63378,1930,3504,5226,51382,46340,58538,55070,4840,8308,   12850,    1578,     132,    4999,    -153,   11287,    6424,   16418,    6426,   -3568,100.0,16.6,7.0,8.4,46.3,63.9,71.3,79.3,28.7,20.7,100.0,29.9,11.5,5.0,20.8,57.2,55.8,73.7,44.2,26.3,100.0,3.0,5.5,8.2,81.1,73.1,92.4,86.9,7.6,13.1,99,30,19,10,29,44,64,68,85,23,17,4,19,39,45,57,36,8,3,6,19,22,28,31,31.2,31.3,43.6,42.9,17.6,15.8,23.8,22.4,25.0,19.4,35.2,32.0,19.7,17.2,29.2,27.2,61.4,56.7,73.6,67.6,22.7,21.6,26.8,24.9,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104001,GOLD - COMMODITY EXCHANGE INC.,860930,1986-09-30,088691,CMX,1,88,136574,22421,7840,11149,57513,85239,91083,104228,45491,32346,71473,24013,6694,1846,12035,43217,37894,51757,33579,19716,65101,1952,4690,5759,45478,42022,53189,52471,11912,12630,  -13235,   -2386,   -2583,   -1411,  -11875,  -10558,  -15672,  -14552,    2437,    1317,100.0,16.4,5.7,8.2,42.1,62.4,66.7,76.3,33.3,23.7,100.0,33.6,9.4,2.6,16.8,60.5,53.0,72.4,47.0,27.6,100.0,3.0,7.2,8.8,69.9,64.5,81.7,80.6,18.3,19.4,100,29,21,10,26,43,61,69,87,25,18,5,14,38,42,58,38,8,5,5,19,21,28,30,27.9,26.0,38.6,37.8,19.1,17.7,24.2,23.8,23.5,21.1,33.2,32.6,21.9,19.4,31.6,30.6,48.5,43.3,62.8,57.1,24.6,22.6,28.2,26.9,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104000,GOLD - COMMODITY EXCHANGE INC.,861015,1986-10-15,088691,CMX,1,88,147411,21274,10239,9744,70584,89512,101602,109495,45809,37916,67880,22844,8100,859,12113,35404,35816,44363,32064,23517,79531,785,4494,6530,58471,54108,65786,65132,13745,14399,   10837,   -1147,    2399,   -1405,   13071,    4273,   10519,    5267,     318,    5570,100.0,14.4,6.9,6.6,47.9,60.7,68.9,74.3,31.1,25.7,100.0,33.7,11.9,1.3,17.8,52.2,52.8,65.4,47.2,34.6,100.0,1.0,5.7,8.2,73.5,68.0,82.7,81.9,17.3,18.1,99,28,23,9,27,40,60,67,85,27,18,7,15,32,46,53,37,4,6,5,20,22,26,31,32.0,30.1,40.4,39.2,16.5,14.6,21.5,19.6,17.8,17.5,28.4,28.2,17.1,16.7,27.3,27.4,53.2,48.9,66.1,60.7,20.9,17.7,24.6,21.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
103999,GOLD - COMMODITY EXCHANGE INC.,861031,1986-10-31,088691,CMX,1,88,146778,12673,9373,8897,79221,90456,100791,108726,45987,38052,61713,11996,8418,1267,19042,32012,32305,41697,29408,20016,85065,1561,1839,6746,60179,58444,68486,67029,16579,18036,    -633,   -8601,    -866,    -847,    8637,     944,    -811,    -769,     178,     136,100.0,8.6,6.4,6.1,54.0,61.6,68.7,74.1,31.3,25.9,100.0,19.4,13.6,2.1,30.9,51.9,52.3,67.6,47.7,32.4,100.0,1.8,2.2,7.9,70.7,68.7,80.5,78.8,19.5,21.2,93,25,17,13,25,44,55,70,78,23,15,5,13,33,36,53,42,7,4,7,21,24,31,34,34.8,29.4,44.7,38.1,20.1,14.1,23.3,20.2,28.5,20.5,35.6,32.6,27.5,19.5,34.3,31.4,50.1,45.9,61.8,56.0,20.5,16.9,23.5,20.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
