,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106131,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-06-14,43110,28492,21362,  -19516,    6848,   -9927
106132,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-06-07,62626,21644,31289,    5451,   -2647,    7127
106133,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-05-31,57175,24291,24162,    5033,    -593,    3232
106134,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-05-24,52142,24884,20930,    7388,    2421,    2614
106135,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-05-17,44754,22463,18316,    2053,    -211,    2559
106136,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-05-10,42701,22674,15757,    1045,    1377,    1289
106137,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-05-03,41656,21297,14468,   -1204,   -2693,    -257
106138,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-04-26,42860,23990,14725,    -352,    4131,    4276
106139,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-04-19,43212,19859,10449,    3455,    2381,    1209
106140,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-04-12,39757,17478,9240,    3346,     914,   -1675
106141,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-04-05,36411,16564,10915,     810,   -1368,   -2370
106142,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-03-29,35601,17932,13285,   -2055,   -1459,   -1920
