Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions,signal,Interpretation
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2018-01-23,99369,66324,   14708,    7867,236432,18223,33045,6841.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2018-01-16,84661,58457,    -378,   -1090,218209,14725,26204,712.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2018-01-09,85039,59547,   -8572,  -17829,203484,-8143,25492,9257.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2018-01-02,93611,77376,   17257,   13698,211627,21234,16235,3559.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-12-26,76354,63678,    -755,    6957,190393,6610,12676,-7712.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-12-19,77109,56721,   -5502,  -14502,183783,-24319,20388,9000.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-12-12,82611,71223,   -6659,  -11641,208102,5409,11388,4982.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-12-05,89270,82864,   22721,   20888,202693,24463,6406,1833.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-11-28,66549,61976,    8191,    3318,178230,2391,4573,4873.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-11-21,58358,58658,    5211,     978,175839,-888,-300,4233.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-11-14,53147,57680,    2744,   -1921,176727,-1241,-4533,4665.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-11-07,50403,59601,  -15079,   -4636,177968,-7155,-9198,-10443.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-10-31,65482,64237,    -680,   -3410,185123,-2941,1245,2730.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-10-24,66162,67647,   -6709,    -177,188064,1591,-1485,-6532.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-10-17,72871,67824,   -6739,    3722,186473,4903,5047,-10461.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-10-10,79610,64102,    -715,    3726,181570,6703,15508,-4441.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-10-03,80325,60376,     180,  -14715,174867,-20642,19949,14895.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-09-26,80145,75091,    3589,  -11626,195509,-7073,5054,15215.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-09-19,76556,86717,    7618,  -28306,202582,-71138,-10161,35924.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-09-12,68938,115023,   14484,    7642,273720,54672,-46085,6842.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-09-05,54454,107381,   -5599,   -4227,219048,-4983,-52927,-1372.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-08-29,60053,111608,   -1431,    4224,224031,7537,-51555,-5655.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-08-22,61484,107384,   -2326,   11714,216494,3235,-45900,-14040.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-08-15,63810,95670,    5193,   11893,213259,5168,-31860,-6700.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-08-08,58617,83777,    -240,   -4532,208091,-9339,-25160,4292.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-08-01,58857,88309,    6705,    9960,217430,16730,-29452,-3255.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-07-25,52152,78349,    1269,   10993,200700,515,-26197,-9724.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-07-18,50883,67356,    4269,   -3396,200185,6537,-16473,7665.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-07-11,46614,70752,   -7411,  -11040,193648,-7731,-24138,3629.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-07-03,54025,81792,   10318,   -1048,201379,13580,-27767,11366.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-06-27,43707,82840,   -6918,   -5389,187799,-6901,-39133,-1529.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-06-20,50625,88229,   10073,    8236,194700,-74893,-37604,1837.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-06-13,40552,79993,     405,    3130,269593,21420,-39441,-2725.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-06-06,40147,76863,   -5427,    1638,248173,-5866,-36716,-7065.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-05-30,45574,75225,   -3592,    2192,254039,-2218,-29651,-5784.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-05-23,49166,73033,     797,   -8331,256257,222,-23867,9128.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-05-16,48369,81364,    3459,  -10344,256035,-1190,-32995,13803.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-05-09,44910,91708,   -9371,  -43937,257225,-10005,-46798,34566.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-05-02,54281,135645,     231,   -9587,267230,5519,-81364,9818.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-04-25,54050,145232,    5702,   -2606,261711,361,-91182,8308.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-04-18,48348,147838,   16477,   10066,261350,17162,-99490,6411.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-04-11,31871,137772,    1130,    7358,244188,2414,-105901,-6228.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-04-04,30741,130414,   -4314,   -8716,241774,-5211,-99673,4402.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-03-28,35055,139130,    2469,   -1300,246985,-5495,-104075,3769.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-03-21,32586,140430,   -9781,   -9054,252480,-7465,-107844,-727.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-03-14,42367,149484,  -19480,    6200,259945,-2567,-107117,-25680.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-03-07,61847,143284,   18518,   29284,262512,35630,-81437,-10766.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-02-28,43329,114000,    5076,    9395,226882,13169,-70671,-4319.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-02-21,38253,104605,    -786,      38,213713,1669,-66352,-824.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-02-14,39039,104567,     904,    1893,212044,1031,-65528,-989.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-02-07,38135,102674,   -4097,   -1330,211013,-897,-64539,-2767.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-01-31,42232,104004,   -9289,  -10689,211910,-11771,-61772,1400.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-01-24,51521,114693,   -3721,   -6791,223681,-5101,-63172,3070.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-01-17,55242,121484,   -1500,   -1089,228782,732,-66242,-411.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-01-10,56742,122573,    1260,    2349,228050,2654,-65831,-1089.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2017-01-03,55482,120224,    5420,   13063,225396,12904,-64742,-7643.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-12-27,50062,107161,    5910,    3659,212492,7006,-57099,2251.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-12-20,44152,103502,    3637,   -9356,205486,-32311,-59350,12993.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-12-13,40515,112858,   -2654,   -7549,237797,-5874,-72343,4895.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-12-06,43169,120407,   -7637,   -8534,243671,-586,-77238,897.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-11-29,50806,128941,   -3403,     414,244257,1341,-78135,-3817.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-11-22,54209,128527,     -32,   -6027,242916,-5187,-74318,5995.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-11-15,54241,134554,    1030,   -8502,248103,-5600,-80313,9532.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-11-08,53211,143056,  -10528,   -3644,253703,-13861,-89845,-6884.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-11-01,63739,146700,     138,    -863,267564,64,-82961,1001.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-10-25,63601,147563,   11026,    3430,267500,12306,-83962,7596.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-10-18,52575,144133,    2182,   -1730,255194,-396,-91558,3912.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-10-11,50393,145863,   -6367,   -8469,255590,-6888,-95470,2102.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-10-04,56760,154332,    8583,   18441,262478,23453,-97572,-9858.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-09-27,48177,135891,  -21056,    7972,239025,1266,-87714,-29028.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-09-20,69233,127919,   28836,    4701,237759,-14780,-58686,24135.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-09-13,40397,123218,    1612,   -5536,252539,-3414,-82821,7148.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-09-06,38785,128754,    -863,   -3379,255953,7543,-89969,2516.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-08-30,39648,132133,    3798,    1305,248410,699,-92485,2493.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-08-23,35850,130828,     -40,     700,247711,-857,-94978,-740.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-08-16,35890,130128,     367,    4523,248568,5138,-94238,-4156.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-08-09,35523,125605,    2148,    9715,243430,10165,-90082,-7567.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-08-02,33375,115890,    3556,    5499,233265,1621,-82515,-1943.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-07-26,29819,110391,    1860,    8046,231644,6055,-80572,-6186.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-07-19,27959,102345,  -12040,    2279,225589,-11022,-74386,-14319.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-07-12,39999,100066,   -5747,    5289,236611,8672,-60067,-11036.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-07-05,45746,94777,    2472,    8792,227939,21388,-49031,-6320.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-06-28,43274,85985,    1567,   -7669,206551,7362,-42711,9236.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-06-21,41707,93654,  -19999,   -4713,199189,-7200,-51947,-15286.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-06-14,61706,98367,   25369,   -4269,206389,-52849,-36661,29638.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-06-07,36337,102636,    -209,   33239,259238,15553,-66299,-33448.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-05-31,36546,69397,   -2011,   -1995,243685,-692,-32851,-16.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-05-24,38557,71392,    1024,   -4563,244377,5219,-32835,5587.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-05-17,37533,75955,     -95,    3392,239158,639,-38422,-3487.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-05-10,37628,72563,   -8477,  -13950,238519,-9661,-34935,5473.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-05-03,46105,86513,    5674,   -2587,248180,4351,-40408,8261.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-04-26,40431,89100,    7666,    1183,243829,5634,-48669,6483.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-04-19,32765,87917,   -1083,    2759,238195,2026,-55152,-3842.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-04-12,33848,85158,   -5726,    -922,236169,-11417,-51310,-4804.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-04-05,39574,86080,     648,    7126,247586,-2858,-46506,-6478.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-03-29,38926,78954,     400,    2705,250444,4222,-40028,-2305.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-03-22,38526,76249,  -24350,    -246,246222,-6955,-37723,-24104.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-03-15,62876,76495,   33512,   -1874,253177,-45871,-13619,35386.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-03-08,29364,78369,   -9601,      26,299048,23223,-49005,-9627.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-03-01,38965,78343,    3486,    9796,275825,18611,-39378,-6310.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-02-23,35479,68547,   -1033,   -4220,257214,-3435,-33068,3187.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-02-16,36512,72767,    5487,    5442,260649,4783,-36255,45.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-02-09,31025,67325,   -1712,  -10430,255866,-14814,-36300,8718.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-02-02,32737,77755,   -1959,   -4478,270680,-2118,-45018,2519.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-01-26,34696,82233,   -3167,    5791,272798,13209,-47537,-8958.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-01-19,37863,76442,    3569,   11627,259589,20721,-38579,-8058.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-01-12,34294,64815,  -10368,  -10343,238868,16875,-30521,-25.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2016-01-05,44662,75158,    4186,    3660,221993,17955,-30496,526.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-12-29,40476,71498,   -1599,    2762,204038,9725,-31022,-4361.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-12-22,42075,68736,    2954,   12695,194313,28468,-26661,-9741.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-12-15,39121,56041,   -2512,   -9494,165845,-34400,-16920,6982.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-12-08,41633,65535,    3230,   -1126,200245,12617,-23902,4356.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-12-01,38403,66661,    6081,    2083,187628,15238,-28258,3998.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-11-24,32322,64578,   -2785,    4211,172390,-2864,-32256,-6996.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-11-17,35107,60367,   -4262,    5228,175254,2908,-25260,-9490.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-11-10,39369,55139,   -6406,    9552,172346,21152,-15770,-15958.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-11-03,45775,45587,   -2211,    1735,151194,-2259,188,-3946.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-10-27,47986,43852,   -5491,   -2088,153453,-4590,4134,-3403.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-10-20,53477,45940,    8712,   -6352,158043,5879,7537,15064.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-10-13,44765,52292,   -2935,      59,152164,-8209,-7527,-2994.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-10-06,47700,52233,   -2115,     371,160373,4552,-4533,-2486.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-09-29,49815,51862,    4814,    8128,155821,9248,-2047,-3314.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-09-22,45001,43734,    1795,   -3091,146573,869,1267,4886.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-09-15,43206,46825,    -303,  -14322,145704,-41290,-3619,14019.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-09-08,43509,61147,   -4292,    2107,186994,16962,-17638,-6399.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-09-01,47801,59040,  -10250,    4288,170032,-6930,-11239,-14538.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-08-25,58051,54752,    6021,   -1249,176962,4879,3299,7270.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-08-18,52030,56001,   10279,    3879,172083,13836,-3971,6400.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-08-11,41751,52122,   -3997,    -183,158247,-10977,-10371,-3814.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-08-04,45748,52305,    1953,   -1278,169224,-4071,-6557,3231.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-07-28,43795,53583,    8654,   -3026,173295,8516,-9788,11680.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-07-21,35141,56609,    2979,     248,164779,7706,-21468,2731.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-07-14,32162,56361,   -7421,   -6195,157073,-11407,-24199,-1226.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-07-07,39583,62556,  -14073,   -3859,168480,-12933,-22973,-10214.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-06-30,53656,66415,    2126,   -7309,181413,2772,-12759,9435.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-06-23,51530,73724,   17653,   14413,178641,32006,-22194,3240.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-06-16,33877,59311,    2863,      20,146635,-34414,-25434,2843.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-06-09,31014,59291,   -1755,     864,181049,5758,-28277,-2619.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-06-02,32769,58427,   -1927,   -1808,175291,-1506,-25658,-119.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-05-26,34696,60235,   -6436,   -4259,176797,-5810,-25539,-2177.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-05-19,41132,64494,    3621,   -3786,182607,-979,-23362,7407.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-05-12,37511,68280,    3207,    9218,183586,10118,-30769,-6011.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-05-05,34304,59062,    1065,   -8305,173468,1770,-24758,9370.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-04-28,33239,67367,   -1591,    3256,171698,-3368,-34128,-4847.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-04-21,34830,64111,     837,   -5927,175066,-14447,-29281,6764.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-04-14,33993,70038,   -3648,   -1904,189513,4294,-36045,-1744.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-04-07,37641,71942,    2498,     169,185219,2705,-34301,2329.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-03-31,35143,71773,    -795,   -2722,182514,4374,-36630,1927.0,1,Market is Strong (Bullish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-03-24,35938,74495,  -11217,  -10511,178140,-10098,-38557,-706.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-03-17,47155,85006,    -898,    4362,188238,-16928,-37851,-5260.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-03-10,48053,80644,    3490,    9173,205166,39429,-32591,-5683.0,2,Market is Weak (Bearish)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-03-03,44563,71471,   -2178,    2860,165737,-4047,-26908,-5038.0,3,Market is Strengthening (Bearish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-02-24,46741,68611,    3742,   -3186,169784,-843,-21870,6928.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-02-17,42999,71797,    6201,   -3604,170627,-5339,-28798,9805.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-02-10,36798,75401,     578,   -3217,175966,-6937,-38603,3795.0,4,Market is weakening (Bullish Reversal)
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2015-02-03,36220,78618,   -2429,   -5371,182903,-2447,-42398,2942.0,4,Market is weakening (Bullish Reversal)
