,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
80,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-25,117732,29891,-5079,1572,233549,-4457,87841,-6651.0
81,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-18,122811,28319,-185,1489,238006,-1732,94492,-1674.0
82,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-11,122996,26830,-923,-1849,239738,1469,96166,926.0
83,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-03,123919,28679,6821,7930,238269,12236,95240,-1109.0
84,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-27,117098,20749,-3907,-538,226033,1136,96349,-3369.0
85,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-20,121005,21287,-10733,-31616,224897,-66692,99718,20883.0
86,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-13,131738,52903,8291,11126,291589,55595,78835,-2835.0
87,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-06,123447,41777,7912,4247,235994,11599,81670,3665.0
88,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-30,115535,37530,-3044,-4106,224395,-9143,78005,1062.0
89,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-23,118579,41636,-14689,-17997,233538,-20499,76943,3308.0
90,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-16,133268,59633,5505,1902,254037,-1404,73635,3603.0
91,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-09,127763,57731,-410,-12732,255441,-4794,70032,12322.0
92,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-02,128173,70463,-4925,-8507,260235,-7041,57710,3582.0
93,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-25,133098,78970,-6191,-4148,267276,-422,54128,-2043.0
