,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
32,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-06-25,6506,41563,      32,   -2301,84204,   -4086,-35057,2333.0
33,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-06-18,6474,43864,   -1224,   -6697,88290,  -13266,-37390,5473.0
34,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-06-11,7698,50561,     -53,   -2953,101556,    2741,-42863,2900.0
35,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-06-04,7751,53514,   -1192,     205,98815,   -1566,-45763,-1397.0
36,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-05-28,8943,53309,    1255,    4976,100381,    6111,-44366,-3721.0
37,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-05-21,7688,48333,    1042,     580,94270,    3569,-40645,462.0
38,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-05-14,6646,47753,   -2591,   -3271,90701,   -3944,-41107,680.0
39,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-05-07,9237,51024,   -1803,   -1802,94645,   -4281,-41787,-1.0
40,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-04-30,11040,52826,    1359,     583,98926,    2897,-41786,776.0
41,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-04-23,9681,52243,   -4969,    1381,96029,    2618,-42562,-6350.0
42,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-04-16,14650,50862,   -1976,    2472,93411,    2578,-36212,-4448.0
43,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-04-09,16626,48390,   -4594,    4800,90833,    3725,-31764,-9394.0
44,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-04-02,21220,43590,    4897,    5299,87108,    6648,-22370,-402.0
45,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-03-26,16323,38291,    3320,    4788,80460,    8915,-21968,-1468.0
46,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-03-19,13003,33503,    1767,    4397,71545,  -10897,-20500,-2630.0
47,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-03-12,11236,29106,   -5699,   -5380,82442,    6276,-17870,-319.0
48,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-03-05,16935,34486,    1078,    6648,76166,   10959,-17551,-5570.0
49,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-02-27,15857,27838,    2821,    4879,65207,    5177,-11981,-2058.0
50,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-02-20,13036,22959,     347,    4256,60030,    4961,-9923,-3909.0
51,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-02-13,12689,18703,    2098,    2545,55069,    5150,-6014,-447.0
52,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-02-06,10591,16158,     454,    2117,49919,    2136,-5567,-1663.0
53,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-30,10137,14041,      88,   -1179,47783,    -615,-3904,1267.0
54,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-23,10049,15220,    -578,     855,48398,   -2082,-5171,-1433.0
55,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-01-16,10627,14365,    -417,   -1071,50480,     311,-3738,654.0
