,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
7915,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-02-17,16593,14955,    -423,   -1044,23335,    -822,1638,621.0
7916,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-02-10,17016,15999,   -1923,   -1932,24157,    1113,1017,9.0
7917,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-02-03,18939,17931,     885,     567,23044,   -1232,1008,318.0
7918,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-01-27,18054,17364,   -1787,   -2179,24276,    -265,690,392.0
7919,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-01-20,19841,19543,     723,     494,24541,     698,298,229.0
7920,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-01-13,19118,19049,    1114,     311,23843,    1675,69,803.0
7921,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-01-06,18004,18738,    1593,    1814,22168,    2002,-734,-221.0
0,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-12-30,16411,16924,    -952,    -918,20166,   -1822,-513,-34.0
1,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-12-23,17363,17842,   -2003,   -1418,21988,   -2514,-479,-585.0
2,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-12-16,19366,19260,   -1044,    -885,24502,    -291,106,-159.0
3,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-12-09,20410,20145,     173,     475,24793,     464,265,-302.0
4,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-12-02,20237,19670,    -963,   -1613,24329,   -1931,567,650.0
5,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-11-25,21200,21283,   -1567,   -1796,26260,    -856,-83,229.0
6,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-11-18,22767,23079,    -276,     164,27116,    -428,-312,-440.0
7,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-11-10,23043,22915,     531,     128,27544,     451,128,403.0
8,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-11-04,22512,22787,    -465,    -733,27093,   -1624,-275,268.0
9,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-10-28,22977,23520,    -449,    -235,28717,     240,-543,-214.0
10,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-10-21,23426,23755,    -466,    -589,28477,     -26,-329,123.0
